NAME,DE,EN,FR,IT
kommentar-autotext_aktueller-aktionspreis-teuerer-normalpreis-vp,Aktueller Aktionspreis teuerer als Normalpreis VP bestätigt.,Current reduced price higher than normal price of previous period confirmed.,Prix actuel en action supérieur au prix normal de la période précédente confirmé,Prezzo scontato attuale più elevato rispetto al prezzo normale del periodo precedente confermato.
kommentar-autotext_aktueller-normalpreis-billiger-aktionspreis_vp,Aktueller Normalpreis billiger als/gleich Aktionspreis VP bestätigt.,Current normal price cheaper/equal to reduced price of previous period confirmed.,Prix normal actuel inférieur/égal au prix en action de la période précédente confirmé,Prezzo attuale non scontato più vantaggioso o uguale al prezzo scontato del periodo precedente confermato.
kommentar-autotext_artikeltext-unveraendert-bestaetigt,Artikeltext unverändert bestätigt.,Unchanged item name confirmed.,Description de l'article identique confirmée,Descrizione identica dell'articolo confermata.
kommentar-autotext_keine-ersatzprodukte,Keine Ersatzprodukte in Sortiment vorhanden.,No replacement items in range.,Pas d'article de remplacement dans l'assortiment,Non ci sono articoli di sostituzione nell'assortimento.
kommentar-autotext_keine-produkte,Keine Produkte in Sortiment vorhanden.,No items in range.,Pas d'article disponible dans l'assortiment,Non ci sono articoli nell'assortimento.
kommentar-autotext_presta-setzt-normalpreis,PRESTA beendet Preisreihe mit Normalpreis.,PRESTA ends price series on normal level.,PRESTA interrompt la série de prix avec un retour au prix normal. ,PRESTA interrompe la serie di prezzo con il prezzo non scontato.
kommentar-autotext_steigender-aktionspreis-bestaetigt,Steigender Aktionspreis bestätigt.,Increase of reduced price confirmed.,Prix en action à la hausse confirmé. ,Aumento del prezzo in azione confermato.
kommentar-text_1,Preis nachgeprüft,Verified price,Prix revérifié,IT_Preis nachgeprüft
kommentar-text_10,Bestmöglicher Ersatz,Best replacement possible,Meilleur remplacement impossible,IT_Bestmöglicher Ersatz
kommentar-text_11,Sofortersatz,"Immediate replacement, recent item no longer in range","Remplacement immédiat, article plus dans l'assortiment","IT_Sofortersatz, Artikel nicht mehr im Sortiment"
kommentar-text_12,Artikel durch Personal empfohlen,Item proposed by staff,Article recommandé par le personnel,IT_Artikel durch Personal empfohlen
kommentar-text_13,Produkteigenschaften identisch mit Vorgängerprodukt,Item specs identical to previous item,Caractéristiques du produit identiques à celles de l'article précédent,IT_Produkteigenschaften identisch mit Vorgängerprodukt
kommentar-text_14,BITTE KORRIGIEREN: Erhebungsfehler in Vorperiode,PLEASE RECTIFY: incorrect data in previous period,À NEUTRALISER: erreur de saisie le mois précédent,IT_BITTE KORRIGIEREN: Erhebungsfehler in Vorperiode
kommentar-text_15,Gleicher Artikel,"Same item, but item's text modified","Même article, adaptation de texte uniquement","IT_Gleicher Artikel, nur Text angepasst"
kommentar-text_16,Gleicher Artikel,"Same item, but item's link modified",Même article adaptation de lien uniquement,"IT_Gleicher Artikel, nur Link angepasst"
kommentar-text_17,Gleicher Artikel,"Same item, but item's number modified","Même article, adaptation du numéro d'article uniquement","IT_Gleicher Artikel, nur Artikelnummer angepasst"
kommentar-text_18,Gleicher Artikel,"Same item, but item's specs modified","Même article, adaptation des caractéristiques du produit uniquement","IT_Gleicher Artikel, nur Produktmerkmale angepasst"
kommentar-text_2,Bestätigte Preisveränderung (gemäss Personal),Price change approved by staff,Évolution normale du prix confirmée par le personnel,IT_Bestätigte Preisveränderung (gemäss Personal)
kommentar-text_3,Bestätigte Preisentwicklung,"Verified price change, item still special price offer","Évolution du prix confirmée, article toujours en action","IT_Bestätigte Preisentwicklung, Artikel immer noch in Aktion"
kommentar-text_4,Preissenkung ohne Aktion,Price reduction without special price,Baisse de prix sans action,IT_Preissenkung ohne Aktion
kommentar-text_5,Fehlende Information gemäss Personal ergänzt,Missing information completed according to staff,Information manquante reçue par le personnel,IT_Fehlende Information gemäss Personal ergänzt
kommentar-text_6,Momentan nicht an Lager,"Out of stock, pending order confirmed by staff","Actuellement pas en stock, commande confirmée par le personnel","IT_Momentan nicht an Lager, Bestellung durch Personal bestätigt"
kommentar-text_7,RRR: Artikel ist gemäss Personal im nächsten Monat wieder erhältlich,RRR: Item available next month according to staff,"RRR: l'article revient le mois prochain, confirmé par le personnel",IT_RRR: Artikel ist gemäss Personal im nächsten Monat wieder erhältlich
kommentar-text_8,Sortiment in Aktion,"Entire range on special offer, no survey possible","Tout l’assortiment en action, pas d'entrée possible","IT_Sortiment in Aktion, keine Erfassung möglich"
kommentar-text_9,Sortiment lückenhaft,"Range of goods incomplete, no replacement or new record possible","Assortiment incomplet, remplacement ou nouvelle entrée actuellement impossible","IT_Sortiment lückenhaft, momentan kein Ersatz oder Neuerfassung möglich"
label.aktionen.abbrechen,Abbrechen,Cancel,Annuler,Annullare
label.aktionen.aenderungen_verwerfen,Änderungen verwerfen,Discard changes,Ignorer les modifications,Annulla modifiche
label.aktionen.anwenden,anwenden,apply,appliquer,applicare
label.aktionen.ausfuehren,ausführen,execute,effectuer,eseguire
label.aktionen.direktsuche,Direktsuche (ungefiltert),Direct search (unfiltered),Recherche directe (non filtrée),Ricerca diretta (non filtrata)
label.aktionen.editieren,Editieren,Edit,Editer,Modifica
label.aktionen.erfassen,Erfassen,Record,Saisir,Catturare
label.aktionen.erstellen,Erstellen,Create,Créer,Creare
label.aktionen.loeschen,Löschen,Clear,Effacer,Cancellare
label.aktionen.login,Login,Login,Login,Login
label.aktionen.speichern,Speichern,Save,Enregistrer,Salvare
label.aktionen.statuswechsel,Statuswechsel,Status change,Changement de statut,Cambio di stato
label.aktionen.suche_in_auswahl,Suche in Auswahl (gefiltert),Search in selection (filtered),Recherche dans sélection (filtrée),Cerca nella selezione (filtrata)
label.aktionen.zuruecksetzen,zurücksetzen,reset,réinitialiser,azzerare
label.eingabe.filter,Filter,Filter,Filtre,Filtro
label.language.de,Deutsch,German,Allemand,Tedesco
label.language.en,Englisch,English,Anglais,Inglese
label.language.fr,Französisch,French,Français,Francese
label.language.it,Italienisch,Italian,Italien,Italiano
label.login.benutzer_oder_password_falsch,Benutzername oder Password stimmen nicht überein.,Username or password do not match.,Le nom d'utilisateur ou le mot de passe ne correspondent pas.,Il nome utente o la password non corrispondono.
label.login.benutzername,Benutzername,User name,Nom d'utilisateur,Nome utente
label.login.passwort,Passwort,Password,Mot de passe,Password
label.login.passwort_zuruecksetzen,Passwort zurücksetzen,Reset Password,Réinitialiser le mot de passe,Reimposta password
label.login.unzureichende_berechtigung,Unzureichende Berechtigung.,No access authorization,Pas d'autorisation d'accès,Nessuna autorizzazione di accesso
label.pe.bereits_vorhanden,Es gibt schon Preiserheber/in mit diesem Benutzernamen.,Username already assigned.,Nom d'utilisateur déjà attribué.,Nome utente già assegnato.
label.pe.name,Preiserheber/in,Price collector,Enquêteur/-trice,Collettore
label.pe.password_ist_ungueltig,Password ist ungültig,Password is invalid,Le mot de passe n'est pas valide,La password non è valida
label.pe.titel,Preiserheber/in,Price collector,Enquêteur,Collettore
label.pm.erhebungszeitpunkt,Erhebungszeitpunkt,Reference date,Date de référence,Tempo di riferimento
label.pm.id,PreisID,PriceID,PrixID,PrezzoID
label.pm.indifferent,Indifferent,Indifferent,Indifférent,Indifferente
label.pm.name,Preiserhebung,Price survey,Relevé des prix,Rilevazione dei prezzi
label.pm.stichtag_1,Stichtag 1,Reference day 1,Jour de référence 1,Giorno di riferimento 1
label.pm.stichtag_2,Stichtag 2,Reference day 2,Jour de référence 2,Giorno di riferimento 2
label.pm.titel,Preismeldungen,Prices,Prix,Prezzi
label.pm.woche_1,Woche 1,Reference week 1,Semaine de référence 1,Settimana di riferimento 1
label.pm.woche_2,Woche 2,Reference week 2,Semaine de référence 2,Settimana di riferimento 2
label.pms.titel,Preismeldestellen,Outlets,Points de vente,Punti di vendita
label.standard.name,Name,Name,Nom,Nome
label.standard.sprache,Sprache,Language,Langue,Lingua
label.standard.wird_bearbeited_bitte_warten,Daten werden zusammengefasst...,"Data will be summarized, please wait...","Compilation des données en cours, veuillez patienter...","I dati sono in fase di riepilogo, attendere prego..."
label.standard.wird_gespeichert_bitte_warten,Daten werden gespeichert...,"Data will be saved, please wait...","Enregistrement des données, veuillez patienter...","I dati sono in fase di salvataggio, attendere prego..."
label.standard.wird_pruefstatus_zugewiesen,Prüfstatus wird zugewiesen...,"Check status is assigned, please wait...","Attribution d'un statut de validation en cours, veuillez patienter...","Lo stato di controllo è stato assegnato, si prega di attendere..."
label.standard.wird_synchronisiert_bitte_warten,Datensynchronisierung. Bitte warten...,"Data synchronization is running, please wait...","Synchronisation des données en cours, veuillez patienter...","Sincronizzazione dei dati in corso, attendere prego..."
label.status.alle,Alle Preise,All prices,Tous les prix,Tutti i prezzi
label.status.blockiert,Blockiert,Blocked,Bloqué,Bloccato
label.status.exportiert,Exportiert,Exported,Exporté,Esportato
label.status.geprueft,Geprüft,Checked,Vérifié,Controllato
label.status.in_erhebung,in Erhebung,In survey,En relevé,In rilevazzione
label.status.in_preufung,In Prüfung,In review,En revue,In controllo
label.status.in_pruefung_alle,In Prüfung (alle),In review (all),En revue (tous),In contollo (tutti)
label.status.in_pruefung_unbestaetigt,Alle Preise (unbestätigt),In review (unconfirmed),En revue (non confirmés),In controllo (non confermati)
label.status.name,Preisstatus,Review status,Statut de la validation du prix,Stato della validazzione del prezzo
label.status.ungeprueft,Ungeprüft,Unchecked,Non vérifiés,Non verificato
label.wk.name,Erhebungsposition,Variety,Position,Varietà
label.wk.titel,Warenkorb,Basket of goods,Panier-type,Paniere tipo
label_anzahl-fehlende-preis-r,Anzahl Code R,Number of code R,Nombre de code R,Numero di codici R
label_artikelnummer,Artikelnummer,Item number,Numéro d'article,Numero dell'articolo
label_artikeltext,Artikeltext,Item descr,Description,Descrizione
label_artikeltext-geliefert,Artikeltext (geliefert),Item name (as delivered),Description de l'article (tel que livré),Descrizione dell'articolo rilevata
label_basismenge,Basismenge,Initial quantity,Quantité initiale,Quantità di base
label_basispreis,Basispreis,Initial price,Prix initial,Prezzo di base
label_cancel-edit-continue-editing-line-1,Auf «Weiterbearbeiten» klicken um bei dieser Preismeldung zu bleiben,"Continue editing by clicking ""edit""","Cliquer sur ""continuer la saisie"" pour rester sur l'article actuel",Cliccare su « continuare il rilevamento » per rimanere sull’articolo attuale
label_cancel-edit-continue-editing-line-2,(Dateineingabe bleibt erhalten).,(data will be maintained),(les informations déjà saisies restent affichées),(le informazioni già inserite vengono visualizzate)
label_cancel-edit-ignore-changes-line-1,Auf «Änderungen verwerfen» klicken um diese Preismeldung zu verlassen,"Ingore changes by clicking ""discard""","Cliquer sur ""annuler"" pour quitter",Cliccare su « Annullare le modifiche » per uscire
label_cancel-edit-ignore-changes-line-2,(Dateneingabe geht verloren).,(data will get lost),(les informations déjà saisies sont perdues),(le informazioni già inserite sono perse)
label_cancel-edit-preismeldung-data-changed,Die Angaben der aktuellen Preismeldung wurden geändert!,Item data changed,Des informations sur l'article actuel ont été modifiées!,Delle informazioni sull’articolo attuale sono state modificate
label_datum-vor-reduktion,Datum vor Reduktion,Date before reduction,Date avant la réduction,Data prima dello sconto
label_erfasste-anzeigen,Erfasste anzeigen,Show collected,Voir capturé,Vista catturato
label_info-warenkorb_anzahl-preismeldungen,Anzahl Preismeldungen (Aktuell/Vorgabe),Number of items (recorded/required),Nombre d'articles (actuels/requis),Numero di articoli (rilevati/richiesti)
label_info-warenkorb_beispiele,Beispiele,Examples,Exemples,Esempi
label_info-warenkorb_code,Code,Code,Code,Codice
label_info-warenkorb_erfassungszeitraum,Erfassungszeitraum,Survey period,Période de relevé,Periodo di rilevazione
label_info-warenkorb_erlaubte-normalpreisentwicklung,Erlaubte Normalpreisentwicklung,Admitted normal price change,Évolution normale de prix admise,Evoluzione di prezzo normale ammessa
label_info-warenkorb_info,Info,Info,Info,Info
label_info-warenkorb_periodizitaet,Periodizität,Periodicity,Périodicité,Periodicità
label_info-warenkorb_position-im-warenkorb,Position im Warenkorb,Position in market basket,Position dans le panier-type,Posizione nel paniere tipo
label_info-warenkorb_preismeldung-wird-erhoben-im,Erhebungsposition wird erhoben im,Item is recorded in,Article relevé en,Articolo viene rilevato nel
label_info-warenkorb_standardmenge,Standardmenge,Standard quantity,Quantité standard,Quantità standard
label_internetlink,URL,URL,URL,URL
label_kommentar_snippet-auswaehlen,Kommentare,Comments,Commentaires,Commenti
label_menge-vor-reduktion,Menge vor Reduktion,Quantity before reduction,Quantité avant réduction,Quantità prima dello sconto
label_neue-preisreihe-code-2,Neue Preisreihe: Vorperiode und aktuelle Periode bekannt (Code 2),New price series: current and last period known (Code 2),Nouvel article : période précédente et actuelle connues (code 2),Nuovo articolo: periodo precedente e attuale conosciuti (codice 2)
label_neue-preisreihe-code-3,Neue Preisreihe: Nur aktuelle Periode bekannt (Code 3),New price series: current period known (Code 2),Nouvel article : uniquement période actuelle connue (code 3),Nuovo articolo: periodo attuale conosciuto (codice 3)
label_no_preismeldung-available,Keine Einträge vorhanden.,No entries available.,Pas de résultats disponibles.,Nessun risultato disponibile.
label_no_preismeldung-selected,Keine Preismeldung selektiert,No item selected,Aucun article sélectionné,Nessun articolo selezionato
label_no_preismeldung-with-current-filter,Keine Einträge in den gefilterten Daten.,No entries in the filtered data.,Pas de résultats dans les données filtrées.,Nessun risultato nei dati filtrati.
label_pms_adresse,Adresse,Address,Adresse,Indirizzo
label_pms_anzeige-in-pms-liste,Anzeige in PMS-Liste,Listing,Positionnement dans la liste,Posizione in lista
label_pms_bemerkungen_erhebungsart,Bemerkungen zur Erhebungsart,Remark on type of survey,Remarque sur le type de relevé,Commenti sulla tecnica di rilevazione
label_pms_email,eMail,eMail,eMail,eMail
label_pms_erhebungsart,Erhebungsart,Survey type,Type de relevé,Tecnica di rilevazione
label_pms_erhebungsart_abgegeben,Papierliste durch PMS ausgefüllt,Paper form completed by store,Formulaire papier rempli par le point de vente,Modulo cartaceo completato dal punto vendita
label_pms_erhebungsart_email,eMail,eMail,eMail,eMail
label_pms_erhebungsart_internet,Internet,Internet,Internet,Internet
label_pms_erhebungsart_persoenlich,Papierliste vor Ort,Paper form on site,Formulaire papier ,Modulo di carta
label_pms_erhebungsart_telephone,Telefon,Telephone,Téléphone,Telefono
label_pms_erhebungsart_vor-ort-app,Tablet vor Ort,Tablet on site,Tablette sur le terrain,Tablet nel punto vendita
label_pms_erhebungsregion,Erhebungsregion,Survey region,Région de relevé,Regione di rilevazione
label_pms_fax,Fax,Fax,Fax,Fax
label_pms_internet_link,Internet-Link,Internet-Link,Lien Internet,Collegamento a Internet
label_pms_kontaktperson_1,1. Kontaktperson,Contact 1,Personne de contact 1,Persona di contatto 1
label_pms_kontaktperson_2,2. Kontaktperson,Contact 2,Personne de contact 2,Persona di contatto 2
label_pms_kontaktperson_first-name,Vorname,First name,Prénom,Nome
label_pms_kontaktperson_person-function,Funktion,Function,Fonction,Funzione
label_pms_kontaktperson_surname,Name,Surname,Nom,Cognome
label_pms_mobile,Mobile,Mobile,Mobile,Cellulare
label_pms_name,Name,Name,Nom,Nome
label_pms_pms-liste-normal,normal,normal,normal,normale
label_pms_pms-liste-top,prioritär,top,prioritaire,prioritario
label_pms_pmsGeschlossen,Verhinderungsgrund der Erhebung in PMS,Reason why shop data cannot be recorded this month,Raison du non-relevé,Motivo perché la rilevazione non può essere eseguita questo mese
label_pms_pmsGeschlossen_1,Ferien,Vacation,Vacances,Ferie
label_pms_pmsGeschlossen_2,geschlossen (temporär),Temporarily closed,Fermé temporairement,Chiuso (temporaneamente)
label_pms_pmsGeschlossen_3,Geschäftsaufgabe,Store closure,Cessation d'activité définitive,Chiusura del negozio
label_pms_pmsGeschlossen_4,anderes (bitte unter Zusatzinformation erläutern),other (please comment under complementary information),Autre (svp préciser dans informations supplémentaires),Altro (per favore precisare nel campo informazioni complementari)
label_pms_postcode,PLZ,Postal code,Code postal,CAP
label_pms_preismeldestellenummer,Preismeldestellen-Nummer,Store number,Numéro de PMS,Numero del punto vendita
label_pms_region,Region,Region,Région,Regione di rilevazione
label_pms_street,Strasse,Street,Rue,Via
label_pms_telephone,Telefon,Telephone,Téléphone,Telefono
label_pms_town,Ort,City,Ville,Città
label_pms_zusatzinformationen,Zusatzinformationen zur Preismeldestelle,Complementary information about store,Information complémentaire sur le point de vente,Informazioni complementari sul punto vendita
label_pms_zusatzname,Zusatzname,Complementary name,Nom complémentaire,Nome complementare
label_preis-gefuehrt-seit,Preisreihe seit,In survey since,Relevé depuis,Rilevato da
label_preis-vor-reduktion,Preis vor Reduktion,Price before reduction,Prix avant réduction,Prezzo prima dello sconto
label_preiserheber_email,eMail,eMail,eMail,eMail
label_preiserheber_erhebungsregion,Erhebungsregion,Region of survey,Région de relevé,Regione di rilevazione
label_preiserheber_fax,Fax,Fax,Fax,Fax
label_preiserheber_firstName,Vorname,First name,Prénom,Nome
label_preiserheber_mobilephone,Mobilnummer,Mobile,Mobile,Cellulare
label_preiserheber_postcode,PLZ,Postal code,Code postal,CAP
label_preiserheber_street,Strasse,Street,Rue,Via
label_preiserheber_surname,Nachname,Surname,Nom,Cognome
label_preiserheber_telephone,Festnetznummer,Telephone,Téléphone,Telefono fisso
label_preiserheber_town,Ort,City,Ville,Città
label_preiserheber_webseite,Webseite,Website,Site internet,Sito Internet
label_preismeldung-id,Preis-ID,Price-ID,ID-Prix,ID-Prezzo
label_print_aktion,Aktion,Sale,Action,Azione
label_print_aktuell,aktuell,Actual period,Période actuelle,Periodo attuale
label_print_anzahl-code-r,Anzahl Code R,Number of code R,Nombre de code R,Numero di codici R
label_print_artikelnummer,Artikelnummer,Item number,Numéro d'article,Numero dell'articolo
label_print_artikeltext,Artikeltext,Item name,Description de l'article,Descrizione dell'articolo
label_print_bemerkungen,Bemerkungen,Remarks,Remarques,Commenti
label_print_chf,CHF,CHF,CHF,CHF
label_print_code,Code,Code,Code,Codice
label_print_information,Info,Info,Info,Info
label_print_menge,Menge,Quantity,Quantité,Quantità
label_print_menge-vor-reduktion,Menge vor Reduktion,Quantity before reduction,Quantité avant réduction,Quantità prima dello sconto
label_print_pm-id,Preis-ID,Price-ID,ID-Prix,ID-Prezzo
label_print_pos,EPno/Lfno,EPno/Lfno,EPno/Lfno,EPno/Lfno
label_print_preis,Preis,Price,Prix,Prezzo
label_print_preis-vor-reduktion,Preis vor Reduktion,Price before reduction,Prix avant réduction,Prezzo prima dello sconto
label_print_preiszahl,# Preise,# Prices,# Prix,# Prezzi
label_print_produktmale,Produkteigenschaften,Item features,Caractéristiques du produit,Caratteristiche del prodotto
label_print_seite,Seite,Page,Page,Pagine
label_print_shop,Preismeldestelle,Store,Point de vente,Punto vendita
label_print_standardmenge,Standardmenge,Standard quantity,Quantité standard,Quantità standard
label_print_stichtag,Erhebungsdatum,Date of survey,Date de relevé,Data di rilevazione
label_print_vorperiode,Vorperiode,Previous period,Période précédente,Periodo precedente
menu.cockpit,Status,Status,Statut,Stato
menu.controlling,Controlling,Controlling,Controlling,Controlling
menu.export,Export,Export,Exportation,Esportazione
menu.import,Import,Import,Importation,Importazione
menu.preise,Preise,Prices,Prix,Prezzi
menu.preiserheber,Preiserheber/in,Price collector,Enquêteur,Collettore
menu.preismeldestellen,PMS,Outlets,Points de vente,Punti di vendita
menu.report,Reporting,Reporting,Reporting,Reporting
pms.detail.erhoben_durch,PMS erhoben durch,Outlet surveyed by,Points de vente relevé par,Punto di vendita visitato da
pms.liste.auswahl_kriterien,Auswahlkriterien,Selection criteria,Les critères de sélection,Criteri di selezione
pms.liste.suche_volltext,Volltext,Full text,Texte intégral,Testo completo
preiserheber.detail.initiales_passwort,Initiales Passwort,Initial password,Mot de passe initial,Password iniziale
preiserheber.detail.mobilnummer,"Mobilnummer	",Mobile phone number,Numéro de téléphone portable,Numero di cellulare
preiserheber.detail.passwort_anforderungen_mindestanzahl,Muss mit einem Buchstaben anfangen,"Must start with a letter, be at least 3 characters long and only use small letters","Doit commencer par une lettre, comporter au moins 3 caractères et n'utiliser que des lettres minuscules","Deve iniziare con una lettera, essere lungo almeno 3 caratteri e utilizzare solo lettere minuscole"
preiserheber.detail.passwort_anforderungen_zeichen,"Zahlen und folgende Zeichen haben: ""_ $ ,  + -""","Numbers and the following characters have: ""_ $, + -""","Les nombres et les caractères suivants ont : ""_ $, + -""","I numeri e i seguenti caratteri hanno: ""_ $, + -"""
preiserheber.loeschen_warnung,Preiserheber/innen können nicht mehr mit diesem Konto synchronisieren und alle aktuell erfassten Preismeldungen gehen verloren.,Price collectors will no longer be able to sync with this account and all currently collected prices will be lost.,Les enquêteurs de prix ne peuvent plus se synchroniser avec ce compte et toutes les observations de prix actuellement saisies sont perdues.,I collettori di prezzi non saranno più in grado di sincronizzarsi con questo account e tutti i prezzi attualmente registrati andranno persi.
preiserheber.uebersicht.nicht_zugewiesen,Nicht zugewiesen,Unassigned,Non assigné,Non assegnato
preiserheber.uebersicht.titel,Arbeitzuteilung,Assignment of work,Attribution du travail,Assegnazione del lavoro
preiserheber.uebersicht.zugewiesen,Zugewiesen,Assigned,Attribué,Assegnato
reporting.erstellungsdatum,Erstellungsdatum,Creation date,Date de création,Data di creazione
reporting.internet,Internet zentral,"Internet, centralized","Internet, centralisé","Internet, centralizato"
reporting.lik_monatsbericht,LIK-Monatsbericht,Monthly report,Rapport mensuel,Rapporto mensile
reporting.monatlich.aktion_ausverkauf,Aktion/Ausverkauf,Action/sale,Action/soldes,Azione/saldi
reporting.monatlich.aktionsende,Aktionsende,End of sales period,Retour d'action,Fine della promozione
reporting.monatlich.bearbeitungscode,Bearbeitungscode,Processing Code,Code de traitement,Codice di trattamento
reporting.monatlich.code_0,Preisreihe beendet,Price series ended,Série de prix terminée,Serie di prezzi terminata
reporting.monatlich.code_1,Direktersatz,Direct replacement,Remplacement direct,Sostituzione diretta
reporting.monatlich.code_2,Neuer Preis mit VP,New price with last period,Nouveau prix avec période précédente,Nuovo prezzo con periodo precedente
reporting.monatlich.code_3,Neuer Preis ohne VP,New price without last period,Nouveau prix sans période précédente,Nuovo prezzo senza periodo precedente
reporting.monatlich.code_7,Ersatz mit VP,Replacement with last period,Remplacement par période précédente,Sostituzione con periodo precedente
reporting.monatlich.code_a,Aktionspreis,Promotional price,Prix promotionnel,Prezzo promozionale
reporting.monatlich.code_r,fehlender Artikel,missing item,article manquant,Articolo mancante
reporting.monatlich.code_s,fehlender Saisonartikel,missing seasonal item,article saisonnier manquant,articolo stagionale mancante
reporting.monatlich.erhebungsart_abrechnung,Erhebungsart Abrechnung,Type of survey for billing,Type d'enquête pour facturation,Tipo della rilevazione per fatturazione
reporting.monatlich.gestiegene_preise,gestiegene Preise,increased prices,prix augmentés,prezzi aumentati
reporting.monatlich.gesunkene_preise,gesunkene Preise,decreased prices,prix baissés,prezzi più bassi
reporting.monatlich.neue_preisreihen,Neue Preisreihen,New price series,Nouvelle série de prix,Nuova serie di prezzi
reporting.monatlich.pm_insgesamt,Preismeldungen insgesamt,Total number of prices,Nombre total de prix,N° totale di premi
reporting.monatlich.preisentwicklungen,Preisentwicklungen,Price trends,Évolution des prix,Andamento dei prezzi
reporting.monatlich.regionale_preiserhebung,Regionale Preiserhebung,Regional price survey,Enquête des prix régionale,Rilevazione dei prezzi regionale
reporting.monatlich.stabile_priese,stabile Preise,stable prices,prix stables,prezzi stabili
reporting.monatlich.standardbuchung,Standardbuchung,Standard code,Code standard,Codice standard
reporting.monatlich.total,Total,Total,Total,Totale
reporting.monatlich.total_erfasst,Total erfasst,Total recorded,Total enregistré,Totale registrato
reporting.monatlich.total_erhalten,Total erhalten,Total received,Total reçu,Totale ricevuto
reporting.normalerhebung,Normalerhebung,Normal survey,Enquête normale,Rilevazione normale
reporting.organisation.erhebungsregionen,Erhebungsregionen,Survey regions,Régions d'enquête,Regioni di rilevazioni
reporting.organisation.pm_pro_pms,Preismeldungen pro PMS,Prices per outlet,Prix par magasin,Prezzi per negozio
reporting.organisation.titel,Organisation,Organization,Organisation,Organizzazione
reporting.pms_probleme.grund,Grund,Reason,Raison,Ragione
reporting.pms_probleme.pms_geschlossen,Preismeldestellen geschlossen,Outlets closed,Magasins fermés,Negozi chiusi
reporting.pms_probleme.titel,PMS-Probleme,Outlets: Problems,Magasins: Problèmes,Negozi: Problemi
reporting.pms_probleme.zusatzinfo,Zusatzinfo,Additional Info,Information additionnelle,Informazioni addizionali
reporting.preise,Preise,Prices,Prix,Prezzi
server-connection-url,URL des Datenbank-Servers,URL of the database-server,URL du serveur de la base de données,URL del server della banca dati
settings.autor,Autor,Author,Auteur,Autore
settings.datenbank,Datenbank (CouchDB),Database (CouchDB),Base de données (CouchDB),Database (CouchDB)
settings.datenbank_verwaltung_anzeigen,Datenbank-Verwaltung anzeigen,Show database management,Afficher la gestion de la base de données,Mostra gestione database
settings.datenbank_wirklich_importieren,Wollen Sie wirklich die folgenden Datenbanken importieren?,Do you really want to import the following databases?,Voulez-vous vraiment importer les bases de données suivantes ?,Vuoi davvero importare i seguenti database?
settings.datensaetze_wurden_exportiert,{{ count }} Einträge von '{{ db }}' wurden exportiert,{{ count }} Entries from '{{ db }}' were exported,{{ count }} Les enregistrements de '{{ db }}' ont été exportés.,{{ count }} voci sono state esportate da '{{ db }}'.
settings.datensaetze_wurden_importiert,{{ count }} Einträge wurden in '{{db}}' importiert,{{ count }} Entries have been imported to '{{db}}'.,{{ count }} des enregistrements de la base de données ont été exportées dans '{{db}}'.,{{ count }}} voci sono state importate in '{{db}}'.
settings.erhebungsorgannummer,Erhebungsorgannummer,Number of the survey organization,Numéro de l'organisation d'enquête,Numero dell'organizzazione della rilevazione
settings.erweiterte_sedex_einstellungen,Erweiterte Sedex Einstellungen,Extended Sedex settings,Paramètres Sedex étendus,Impostazioni di Sedex estese
settings.export_pfad,Exportpfad (Sedex-Daten),Export path (Sedex data),Chemin d'exportation (données Sedex),Percorso di esportazione (dati Sedex)
settings.general,Allgemein,General,Generale,Général
settings.import_und_export_aller_daten,Import/Export der definierten Preiserheber und PMS-Zuordnungen (.json-Format),Import / export: price collectors and outlet assignments (.json format),Import/export: enquêteurs et attributions des magasins (format .json),Importazione/esportazione: staff e assegnazioni negozi (formato .json)
settings.kompatibilitaet_mit_preiserheber_app,Kompatibilität (Preiserfasser-App),Compatibility (on-field-survey app),Compatibilité (on-field-survey app),Compatibilità (on-field-survey app)
settings.mindestversion,Mindestversion,Version must be equal or higher than,Version minimale,Versione minima
settings.recipient_id,Recipient ID,Recipient ID,Recipient ID,Recipient ID
settings.sender_id,Sender ID,Sender ID,Sender ID,Sender ID
settings.serververbindung,Serververbindung,Server connection,Connexion au serveur,Connessione al server
settings.titel,Einstellungen,Settings,Paramètres,Impostazioni
settings.transfereinstellungen,Transfereinstellungen (Sedex),Transfer settings (Sedex),Paramètres de transfert (Sedex),Impostazioni di trasferimento (Sedex)
settings.version,LIK PreisAdmin,CPI Admin,IPC Admin,IPC Admin
settings.version_format_anforderung,"Muss im Format a.b.c sein, z.B. 2.2.9","Must be in the format a.b.c, e.g. 2.2.9","Doit être au format a.b.c, par exemple 2.2.9","Deve essere nel formato a.b.c, ad esempio 2.2.9"
text_aktion,Aktion,Sale,Action,Azione
text_chf,CHF,CHF,CHF,CHF
text_code,Code,Code,Code,Codice
text_database-last-synced-at,Letzte Synchronisation,Database last synced at,Dernière synchronisation,Ultima sincronizzazione
text_database-successfully-deleted,Lokale Daten wurden erfolgreich gelöscht,Database successfully deleted,Données locales supprimées,I dati locali sono stati cancellati con successo
text_erhebungsmonat,Erhebungsmonat,Month of survey,Mois d'enquête,Mese di rilevazione
text_nicht_zutreffend,Nicht zutreffend,Not applicable,Pas applicable,Non applicabile
text_no,Nein,No,Non,No
text_not-specified,Nicht angegeben,Not specified,Non spécifié,Non specificato
text_preismeldung_erfasste,nicht gelieferte Preise,Prices to upload,Prix à transférer,Prezzi a caricare
